Date,A_Dec_15,A_Jan_16,A_Feb_16,A_Mar_16,A_Apr_16,A_May_16,A_June_16
1,168,244,135,142,213,178,157
2,185,215,179,156,174,171,153
3,155,212,176,153,163,175,255
4,209,175,138,226,188,184,183
5,134,166,239,165,172,145,224
6,189,191,190,195,183,229,227
7,180,141,154,172,145,137,195
8,182,251,185,119,222,159,160
9,182,158,151,96,149,154,184
10,140,178,137,158,185,147,239
11,273,190,138,228,170,138,134
12,141,140,233,123,146,116,127
13,159,136,136,130,134,318,192
14,140,121,161,164,95,116,161
15,129,399,164,140,242,142,159
16,139,144,99,122,146,171,139
17,110,142,131,88,142,135,390
18,466,138,110,385,143,137,138
19,143,126,390,110,134,104,162
20,136,106,119,127,108,362,150
21,130,99,128,113,101,102,155
22,134,227,128,100,387,104,147
23,126,109,127,109,109,129,133
24,94,122,127,97,129,122,300
25,199,125,124,237,124,114,162
26,121,135,208,111,167,115,154
27,138,112,108,129,123,242,173
28,140,117,137,143,120,124,192
29,147,208,150,126,250,145,209
30,164,175,175,127,125,180,197
31,118,225,225,119,119,176,176

