Date,A_Dec_15,A_Jan_16,A_Feb_16,A_Mar_16,A_Apr_16,A_May_16,A_June_16
1,923,589,859,908,933,962,894
2,713,741,824,918,800,879,768
3,668,626,762,855,747,715,882
4,607,615,598,854,695,628,600
5,627,563,702,628,663,660,537
6,629,606,538,580,586,564,471
7,563,513,452,536,523,526,588
8,568,548,489,450,519,419,518
9,656,550,590,506,606,569,512
10,659,533,545,679,581,600,544
11,716,511,622,642,546,511,492
12,506,504,602,484,444,453,396
13,459,438,440,413,404,545,374
14,537,535,372,432,407,359,403
15,437,564,345,431,529,360,368
16,394,419,391,379,365,419,355
17,425,324,369,375,337,329,402
18,494,353,346,415,311,308,341
19,410,332,416,319,297,351,307
20,390,419,287,301,284,366,333
21,443,371,256,308,284,267,366
22,536,376,264,280,348,265,324
23,633,287,326,270,278,314,385
24,428,302,322,325,290,386,501
25,362,376,550,409,352,401,427
26,408,566,755,467,462,578,465
27,529,751,722,541,656,640,614
28,609,907,834,647,870,563,723
29,653,877,884,695,901,661,845
30,752,723,723,649,834,778,1000
31,517,774,774,778,778,767,767
